DBN,SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed,Num of AP Exams Failed
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,35,35,9,26
12X684,WINGS ACADEMY,27,36,8,28
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",81,96,7,89
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2516,4427,3333,1094
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,34,53,36,17
13K595,BEDFORD ACADEMY HIGH SCHOOL,124,152,26,126
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,28,31,9,22
13K670,BENJAMIN BANNEKER ACADEMY,146,203,82,121
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,14,14,12,2
14K404,ACADEMY FOR YOUNG WRITERS,23,23,9,14
14K477,SCHOOL FOR LEGAL STUDIES,53,68,10,58
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",75,96,37,59
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,32,46,9,37
14K561,WILLIAMSBURG PREPARATORY SCHOOL,54,61,28,33
15K462,SECONDARY SCHOOL FOR LAW,35,50,19,31
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,44,61,22,39
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,29,36,8,28
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,86,115,10,105
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,343,588,156,432
17K600,CLARA BARTON HIGH SCHOOL,128,195,56,139
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,59,62,6,56
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,64,71,6,65
20K445,NEW UTRECHT HIGH SCHOOL,264,362,155,207
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,132,146,63,83
20K490,FORT HAMILTON HIGH SCHOOL,435,705,414,291
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,216,308,173,135
